naca,reynolds,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0006,100000,-10.0,-0.5661,0.11269,0.10814,0.014,1.0,0.0914
0006,100000,-9.75,-0.583,0.10909,0.10461,0.0097,1.0,0.0925
0006,100000,-9.5,-0.7037,0.11447,0.10977,0.0241,1.0,0.0814
0006,100000,-9.25,-0.6934,0.11087,0.10614,0.0257,1.0,0.0859
0006,100000,-9.0,-0.6952,0.10675,0.10207,0.0227,1.0,0.0898
0006,100000,-8.75,-0.7078,0.10227,0.09768,0.0146,1.0,0.0921
0006,100000,-8.5,-0.7208,0.09688,0.09233,0.0047,1.0,0.0927
0006,100000,-8.25,-0.6967,0.09341,0.08887,0.0159,1.0,0.0987
0006,100000,-8.0,-0.6997,0.08881,0.08432,0.0114,1.0,0.1029
0006,100000,-7.75,-0.7174,0.08268,0.07796,-0.0036,1.0,0.1066
0006,100000,-7.5,-0.6995,0.07812,0.07361,0.0024,1.0,0.111
0006,100000,-7.25,-0.7061,0.0737,0.06878,-0.0067,1.0,0.1208
0006,100000,-7.0,-0.6891,0.06863,0.06399,-0.0028,1.0,0.1254
0006,100000,-6.75,-0.6168,0.05155,0.04715,-0.0071,1.0,0.1467
0006,100000,-6.5,-0.6741,0.05985,0.05481,-0.0076,1.0,0.1506
0006,100000,-6.25,-0.6605,0.05609,0.05099,-0.0071,1.0,0.1655
0006,100000,-6.0,-0.632,0.0434,0.0367,-0.0112,1.0,0.0785
0006,100000,-5.75,-0.6107,0.03711,0.02979,-0.0103,1.0,0.0638
0006,100000,-5.5,-0.5895,0.03283,0.02504,-0.0095,1.0,0.0618
0006,100000,-5.25,-0.5658,0.0289,0.02053,-0.0084,1.0,0.0592
0006,100000,-5.0,-0.5404,0.02585,0.01692,-0.0073,1.0,0.0599
0006,100000,-4.75,-0.5137,0.02413,0.0146,-0.0061,1.0,0.0658
0006,100000,-4.5,-0.4883,0.02113,0.01156,-0.0054,1.0,0.0722
0006,100000,-4.25,-0.4629,0.01936,0.00971,-0.0046,1.0,0.0856
0006,100000,-4.0,-0.4379,0.01784,0.00818,-0.0037,1.0,0.1036
0006,100000,-3.75,-0.4139,0.01637,0.00674,-0.0027,1.0,0.1222
0006,100000,-3.5,-0.391,0.01504,0.00566,-0.0017,1.0,0.1576
0006,100000,-3.25,-0.3789,0.0119,0.0047,0.0009,1.0,0.5305
0006,100000,-3.0,-0.3625,0.01103,0.00463,0.0052,1.0,0.7482
0006,100000,-2.75,-0.335,0.01089,0.00457,0.0075,1.0,0.8707
0006,100000,-2.5,-0.2163,0.01134,0.00448,-0.008,1.0,0.9997
0006,100000,-2.25,-0.1948,0.01103,0.00396,-0.0077,1.0,1.0
0006,100000,-2.0,-0.1733,0.01079,0.00356,-0.0072,1.0,1.0
0006,100000,-1.75,-0.1516,0.0106,0.00324,-0.0066,1.0,1.0
0006,100000,-1.5,-0.1297,0.01046,0.00297,-0.0059,1.0,1.0
0006,100000,-1.25,-0.1078,0.01034,0.00275,-0.005,1.0,1.0
0006,100000,-1.0,-0.0859,0.01026,0.00258,-0.0042,1.0,1.0
0006,100000,-0.75,-0.0642,0.0102,0.00246,-0.0032,1.0,1.0
0006,100000,-0.5,-0.0427,0.01015,0.00237,-0.0022,1.0,1.0
0006,100000,-0.25,-0.0213,0.01013,0.00231,-0.0011,1.0,1.0
0006,100000,0.0,0.0,0.01012,0.0023,0.0,1.0,1.0
0006,100000,0.25,0.0213,0.01013,0.00231,0.0011,1.0,1.0
0006,100000,0.5,0.0427,0.01015,0.00237,0.0022,1.0,1.0
0006,100000,0.75,0.0642,0.0102,0.00246,0.0032,1.0,1.0
0006,100000,1.0,0.0859,0.01026,0.00258,0.0042,1.0,1.0
0006,100000,1.25,0.1078,0.01034,0.00274,0.005,1.0,1.0
0006,100000,1.5,0.1297,0.01046,0.00297,0.0058,1.0,1.0
0006,100000,1.75,0.1516,0.0106,0.00324,0.0066,1.0,1.0
0006,100000,2.0,0.1734,0.01078,0.00356,0.0072,1.0,1.0
0006,100000,2.25,0.1949,0.01102,0.00396,0.0077,1.0,1.0
0006,100000,2.5,0.2162,0.01134,0.00448,0.008,0.9999,1.0
0006,100000,2.75,0.335,0.01089,0.00457,-0.0075,0.8708,1.0
0006,100000,3.0,0.3624,0.01103,0.00463,-0.0051,0.7484,1.0
0006,100000,3.25,0.3788,0.0119,0.0047,-0.0009,0.5312,1.0
0006,100000,3.5,0.3909,0.01504,0.00566,0.0017,0.1577,1.0
0006,100000,3.75,0.4138,0.01637,0.00674,0.0027,0.1222,1.0
0006,100000,4.0,0.4379,0.01784,0.00818,0.0037,0.1036,1.0
0006,100000,4.25,0.4628,0.01936,0.00971,0.0046,0.0856,1.0
0006,100000,4.5,0.4883,0.02113,0.01156,0.0054,0.0721,1.0
0006,100000,4.75,0.5137,0.02414,0.01461,0.0061,0.0658,1.0
0006,100000,5.0,0.5404,0.02585,0.01692,0.0073,0.06,1.0
0006,100000,5.25,0.5658,0.02891,0.02053,0.0084,0.0592,1.0
0006,100000,5.5,0.5895,0.03284,0.02505,0.0095,0.0618,1.0
0006,100000,5.75,0.6108,0.03711,0.0298,0.0103,0.0639,1.0
0006,100000,6.75,0.6843,0.06381,0.05894,0.0064,0.1371,1.0
0006,100000,7.0,0.6893,0.06864,0.06399,0.0028,0.1253,1.0
0006,100000,7.25,0.706,0.0737,0.06878,0.0066,0.1208,1.0
0006,100000,7.5,0.6999,0.07812,0.07361,-0.0025,0.111,1.0
0006,100000,7.75,0.7174,0.08269,0.07798,0.0035,0.1066,1.0
0006,100000,8.0,0.7,0.08885,0.08436,-0.0116,0.1028,1.0
0006,100000,8.25,0.6973,0.09343,0.08889,-0.016,0.0986,1.0
0006,100000,8.5,0.721,0.09692,0.09237,-0.0049,0.0926,1.0
0006,100000,8.75,0.708,0.10232,0.09774,-0.0149,0.0921,1.0
0006,100000,9.0,0.6956,0.1068,0.10212,-0.0229,0.0897,1.0
0006,100000,9.25,0.6941,0.11091,0.10619,-0.0258,0.0858,1.0
0006,100000,9.5,0.5989,0.10492,0.10051,-0.0054,0.0929,1.0
0006,100000,9.75,0.5825,0.10893,0.10445,-0.0097,0.0925,1.0
0006,1000000,-8.75,-0.7405,0.08222,0.08077,0.0149,1.0,0.007
0006,1000000,-8.5,-0.7508,0.07216,0.07073,0.0032,1.0,0.0069
0006,1000000,-8.25,-0.7533,0.06306,0.06151,-0.0039,1.0,0.0068
0006,1000000,-8.0,-0.7521,0.05597,0.05427,-0.0074,1.0,0.0069
0006,1000000,-7.75,-0.7462,0.05056,0.04869,-0.009,1.0,0.007
0006,1000000,-7.5,-0.737,0.04574,0.04365,-0.0098,1.0,0.0072
0006,1000000,-7.25,-0.7382,0.03375,0.03109,-0.0092,1.0,0.0056
0006,1000000,-7.0,-0.7345,0.02389,0.02039,-0.0071,1.0,0.0052
0006,1000000,-6.75,-0.7169,0.01969,0.01565,-0.0058,1.0,0.0053
0006,1000000,-6.5,-0.6954,0.01711,0.01268,-0.0048,1.0,0.0054
0006,1000000,-6.25,-0.6709,0.01593,0.01132,-0.0043,1.0,0.0058
0006,1000000,-6.0,-0.6461,0.0148,0.01001,-0.0037,1.0,0.0061
0006,1000000,-5.75,-0.6209,0.01377,0.00881,-0.0031,1.0,0.0063
0006,1000000,-5.5,-0.6001,0.01111,0.0058,-0.0018,1.0,0.0071
0006,1000000,-5.25,-0.5746,0.01047,0.00509,-0.0014,1.0,0.0079
0006,1000000,-5.0,-0.5488,0.00994,0.00451,-0.001,1.0,0.0088
0006,1000000,-4.75,-0.5225,0.00959,0.0041,-0.0007,1.0,0.0099
0006,1000000,-4.5,-0.4973,0.00878,0.00313,0.0,1.0,0.0128
0006,1000000,-4.25,-0.4711,0.00839,0.00275,0.0004,1.0,0.0182
0006,1000000,-4.0,-0.4448,0.00812,0.0025,0.0007,1.0,0.0281
0006,1000000,-3.75,-0.4184,0.00796,0.00233,0.001,1.0,0.033
0006,1000000,-3.5,-0.3923,0.00774,0.00211,0.0013,1.0,0.0377
0006,1000000,-3.25,-0.3662,0.00761,0.00196,0.0016,1.0,0.04
0006,1000000,-3.0,-0.3403,0.00737,0.0017,0.0021,1.0,0.0446
0006,1000000,-2.75,-0.3145,0.00718,0.00152,0.0025,1.0,0.0498
0006,1000000,-2.5,-0.289,0.00689,0.00133,0.0029,1.0,0.0753
0006,1000000,-2.25,-0.2645,0.00622,0.00113,0.0033,1.0,0.1947
0006,1000000,-2.0,-0.2396,0.0057,0.001,0.0036,1.0,0.304
0006,1000000,-1.75,-0.2142,0.0053,0.0009,0.0038,1.0,0.3937
0006,1000000,-1.5,-0.1884,0.00495,0.00085,0.0041,1.0,0.4785
0006,1000000,-1.25,-0.1608,0.00464,0.00081,0.0039,0.9995,0.5581
0006,1000000,-1.0,-0.1251,0.00426,0.00077,0.002,0.9958,0.6541
0006,1000000,-0.75,-0.0896,0.00395,0.00074,0.0002,0.9904,0.7336
0006,1000000,-0.5,-0.0529,0.00365,0.00073,-0.0016,0.9776,0.8123
0006,1000000,-0.25,-0.0237,0.00344,0.00073,-0.0015,0.9539,0.8808
0006,1000000,0.0,0.0,0.00338,0.00074,0.0,0.9238,0.9241
0006,1000000,0.25,0.0238,0.00344,0.00073,0.0015,0.881,0.9537
0006,1000000,0.5,0.0528,0.00365,0.00073,0.0016,0.8123,0.9774
0006,1000000,0.75,0.0896,0.00396,0.00074,-0.0002,0.733,0.9905
0006,1000000,1.0,0.1251,0.00426,0.00077,-0.002,0.6539,0.9958
0006,1000000,1.25,0.1609,0.00464,0.00081,-0.0039,0.5581,0.9995
0006,1000000,1.5,0.1883,0.00495,0.00085,-0.004,0.479,1.0
0006,1000000,1.75,0.214,0.0053,0.0009,-0.0038,0.3938,1.0
0006,1000000,2.0,0.2394,0.0057,0.001,-0.0035,0.3043,1.0
0006,1000000,2.25,0.2643,0.00622,0.00113,-0.0032,0.1959,1.0
0006,1000000,2.5,0.2888,0.00689,0.00133,-0.0029,0.0756,1.0
0006,1000000,2.75,0.3143,0.00718,0.00152,-0.0024,0.0499,1.0
0006,1000000,3.0,0.3401,0.00737,0.0017,-0.002,0.0447,1.0
0006,1000000,3.25,0.366,0.00761,0.00196,-0.0016,0.04,1.0
0006,1000000,3.5,0.3921,0.00774,0.00211,-0.0012,0.0377,1.0
0006,1000000,3.75,0.4182,0.00796,0.00233,-0.0009,0.0331,1.0
0006,1000000,4.0,0.4446,0.00812,0.0025,-0.0006,0.0281,1.0
0006,1000000,4.25,0.4709,0.00839,0.00274,-0.0003,0.0181,1.0
0006,1000000,4.5,0.4972,0.00878,0.00313,0.0001,0.0127,1.0
0006,1000000,4.75,0.5225,0.00958,0.00409,0.0007,0.0099,1.0
0006,1000000,5.0,0.5487,0.00996,0.00452,0.001,0.0088,1.0
0006,1000000,5.25,0.5746,0.01046,0.00509,0.0014,0.0079,1.0
0006,1000000,5.5,0.6001,0.01111,0.00581,0.0018,0.0071,1.0
0006,1000000,5.75,0.6211,0.01371,0.00874,0.0031,0.0063,1.0
0006,1000000,6.0,0.6462,0.01479,0.01,0.0037,0.0061,1.0
0006,1000000,6.25,0.671,0.01594,0.01133,0.0043,0.0058,1.0
0006,1000000,6.5,0.6954,0.01713,0.0127,0.0048,0.0054,1.0
0006,1000000,6.75,0.717,0.01971,0.01568,0.0058,0.0053,1.0
0006,1000000,7.0,0.7348,0.02384,0.02034,0.0071,0.0052,1.0
0006,1000000,7.25,0.7383,0.03381,0.03116,0.0091,0.0056,1.0
0006,1000000,10.5,0.7164,0.12067,0.1191,-0.036,0.0063,1.0
0006,1000000,10.75,0.7174,0.12546,0.12388,-0.0379,0.0063,1.0
0006,200000,-9.5,-0.583,0.09692,0.09373,0.0063,1.0,0.0398
0006,200000,-9.25,-0.5886,0.09183,0.08866,0.0035,1.0,0.0399
0006,200000,-7.75,-0.7058,0.07163,0.06793,-0.0079,1.0,0.0399
0006,200000,-7.5,-0.7044,0.06601,0.06208,-0.0097,1.0,0.0402
0006,200000,-7.25,-0.7011,0.05867,0.05482,-0.0104,1.0,0.0416
0006,200000,-7.0,-0.6897,0.05497,0.05108,-0.0105,1.0,0.0429
0006,200000,-6.75,-0.677,0.05117,0.04713,-0.0109,1.0,0.0448
0006,200000,-6.5,-0.6625,0.047,0.04268,-0.0113,1.0,0.0477
0006,200000,-6.25,-0.6495,0.04211,0.0371,-0.0114,1.0,0.0537
0006,200000,-6.0,-0.6311,0.03928,0.03438,-0.0113,1.0,0.058
0006,200000,-5.75,-0.6072,0.03004,0.02356,-0.008,1.0,0.0304
0006,200000,-5.5,-0.5857,0.02563,0.0188,-0.0071,1.0,0.0288
0006,200000,-5.25,-0.5617,0.02263,0.01532,-0.006,1.0,0.0289
0006,200000,-5.0,-0.5364,0.02054,0.01275,-0.0049,1.0,0.0304
0006,200000,-4.75,-0.5126,0.0183,0.01046,-0.0044,1.0,0.0352
0006,200000,-4.5,-0.4866,0.01684,0.00879,-0.0035,1.0,0.0392
0006,200000,-4.25,-0.4626,0.01521,0.00716,-0.0027,1.0,0.0482
0006,200000,-4.0,-0.4385,0.01388,0.00581,-0.0019,1.0,0.0593
0006,200000,-3.75,-0.414,0.01298,0.00489,-0.0013,1.0,0.0738
0006,200000,-3.5,-0.3891,0.01226,0.00416,-0.0007,1.0,0.0888
0006,200000,-3.25,-0.3645,0.01141,0.00343,-0.0001,1.0,0.1168
0006,200000,-3.0,-0.3466,0.0093,0.00284,0.0008,1.0,0.4274
0006,200000,-2.75,-0.3265,0.00842,0.00262,0.0024,1.0,0.5976
0006,200000,-2.5,-0.306,0.00787,0.00252,0.0045,1.0,0.7194
0006,200000,-2.25,-0.285,0.00755,0.00249,0.0068,1.0,0.8172
0006,200000,-2.0,-0.2572,0.00748,0.00253,0.008,1.0,0.9037
0006,200000,-1.75,-0.2082,0.00757,0.00252,0.0044,1.0,0.9654
0006,200000,-1.5,-0.1297,0.00764,0.00241,-0.006,1.0,1.0
0006,200000,-1.25,-0.1074,0.00752,0.0022,-0.0053,1.0,1.0
0006,200000,-1.0,-0.0852,0.00743,0.00205,-0.0045,1.0,1.0
0006,200000,-0.75,-0.0633,0.00737,0.00194,-0.0035,1.0,1.0
0006,200000,-0.5,-0.0417,0.00732,0.00187,-0.0025,1.0,1.0
0006,200000,-0.25,-0.0206,0.00729,0.00181,-0.0013,1.0,1.0
0006,200000,0.0,0.0,0.00728,0.0018,0.0,1.0,1.0
0006,200000,0.25,0.0206,0.00729,0.00181,0.0013,1.0,1.0
0006,200000,0.5,0.0417,0.00732,0.00187,0.0025,1.0,1.0
0006,200000,0.75,0.0633,0.00736,0.00194,0.0035,1.0,1.0
0006,200000,1.0,0.0852,0.00743,0.00205,0.0045,1.0,1.0
0006,200000,1.25,0.1074,0.00752,0.0022,0.0053,1.0,1.0
0006,200000,1.5,0.1297,0.00764,0.00241,0.006,1.0,1.0
0006,200000,1.75,0.2081,0.00757,0.00252,-0.0044,0.9655,1.0
0006,200000,2.0,0.2571,0.00748,0.00253,-0.008,0.9037,1.0
0006,200000,2.25,0.2849,0.00755,0.00249,-0.0068,0.8174,1.0
0006,200000,2.5,0.3058,0.00786,0.00252,-0.0045,0.7197,1.0
0006,200000,2.75,0.3263,0.00842,0.00262,-0.0024,0.5981,1.0
0006,200000,3.0,0.3465,0.0093,0.00284,-0.0008,0.4282,1.0
0006,200000,3.25,0.3644,0.01141,0.00343,0.0001,0.117,1.0
0006,200000,3.5,0.389,0.01226,0.00416,0.0007,0.0889,1.0
0006,200000,3.75,0.4139,0.01298,0.00489,0.0013,0.0738,1.0
0006,200000,4.0,0.4385,0.01388,0.00581,0.0019,0.0594,1.0
0006,200000,4.25,0.4625,0.01521,0.00716,0.0028,0.0481,1.0
0006,200000,4.5,0.4865,0.01684,0.00879,0.0035,0.0392,1.0
0006,200000,4.75,0.5125,0.0183,0.01046,0.0044,0.0352,1.0
0006,200000,5.0,0.5364,0.0205,0.01271,0.0049,0.0304,1.0
0006,200000,5.25,0.5618,0.02263,0.01532,0.0059,0.0289,1.0
0006,200000,5.5,0.5858,0.02564,0.01881,0.0071,0.0288,1.0
0006,200000,5.75,0.6072,0.03007,0.02359,0.008,0.0304,1.0
0006,200000,6.0,0.6312,0.03926,0.03436,0.0113,0.0579,1.0
0006,200000,6.25,0.6496,0.04212,0.03711,0.0114,0.0537,1.0
0006,200000,6.5,0.6626,0.04701,0.04269,0.0113,0.0477,1.0
0006,200000,6.75,0.6771,0.05118,0.04714,0.0109,0.0448,1.0
0006,200000,7.0,0.6899,0.05498,0.05109,0.0105,0.0429,1.0
0006,200000,7.25,0.7012,0.05868,0.05483,0.0104,0.0416,1.0
0006,200000,7.5,0.7042,0.06619,0.06226,0.0096,0.0402,1.0
0006,200000,7.75,0.706,0.07165,0.06795,0.0078,0.0399,1.0
